,text,vin
11,"any november orders seeing a hidden vin yet? mine still showing as null. 7 weeks from order date this weekend and my 8-12week estimate is getting closer, fingers crossed for a vin in the next couple of weeks! planning a holiday to airlie beach at easter, driving up from the gold coast. hopefully we will have our tesla by then. also fingers crossed we will see new superchargers at bundaberg (childers) - was estimated for q4 2021, and rockhampton - estimated q1 2022. anyone know if the childers supercharger has been built/ or is in the process of being built yet?",0
12,"you won't get a vin until the car is built (which will likely be early jan), and i wouldn't expect the car until early-mid feb at best.  childers appears to be one of the many q4 2021 pin misses. no-one has spotted a site under construction yet.",0
13,"i wonder what will happen when the ship morning clara departs china, i'm trying to piece together bits of broken up information from a bunch of places i've found over the last year, some have said that a vin will appear (false, as in matched to a vin) when the car is loaded/just after loading/ship has departed...  guess we'll have to tell, the ship is supposed to arrive in shanghai tomorrow (2nd), some posts seem to indicate that ship loading can happen in 24-48hrs and it departs again.  might be worth checking this again later in the week ",0
14,"don't expect to, the tesla purchase experience is similar to buying a phone from telstra. you'll next hear from them once they've assigned you a vin and the issue you an invoice for payment.",0
15,still no vin or ed on our 6/11 order for lr white/white in melbourne. just hoping to get it within the next month... probably optimistic.,0
16,"itâ€™s january! start keeping an eye out for those hidden vins. while i love my car and itâ€™s been fun driving around, and wouldnâ€™t give up my early delivery, i kinda miss that i wonâ€™t have the full hidden vin / ship tracking experience. maybe the next car!",0
17,"i'm watching morning clara on vesselfinder and myshiptracking but the position data is 11 days old. i believe the ship is in shanghai right now about to sail to brisbane, port kembla (for sydney deliveries?) and then melbourne. is there a better way to track ships? if my car is on that ship, when can i expect a hidden vin to appear in the source code? i'm young and very inexperienced in car hunting / ship tracking (ok, not young, but still inexperienced).",0
18," i've seen some reports in 2021 that varies everywhere from hidden vin showed up when loaded to ship left, and others that say they saw nothing until it was basically here already..  considering i expect to take delivery of 3x perf models in q1 hopefully, we'll soon see if it's just random or not.",0
19,"i just received the mail from solar victoria regarding the application for zev subsidy, although there is no vin assigned yet on the account.",0
20,"it's visible for some, not others, and doesn't seem to follow any rhyme or reason. just know you will be contacted when the time comes. and you can do vin checks leading up to that, but don't sweat it if nothing appears for a few more weeks.",0
21,"founds some answers.... looks like all model 3's will get ryzen by around may, until then it's a lotto. you can check with the sales rep once you have a vin and cancel/delay if you like. i probably will to wait for the faster chip.    ",0
22,"when you get your vin assigned reach out to your sa to confirm. the sa won't have access to the system that contains your car's spec, but they have access to someone within tesla that can look up the car's details. this will be the only way to confirm, if last quarter is any guide there will be a lot of wild speculation on the internet that only cars with a vin after xxx or built from x date, most of it will be wrong.  through my sa in late october 2021 i was able to confirm that my car was coming with the 60kwh batttery, the other tesla contact ended up calling me back to confirm over the phone the battery.",0
23,"same here. phone app is now saying 14-20 weeks again. interestingly, when i go to my management page for my order i now have, under my order number, a field for vin which currently lists as n/a. and the edd is back here as well as 14-20 weeks. things are continually changing with regard to information displayed.   ",0
24,  did you install the chrome extension which give you all the information at the bottom of the page? when i installed that it gave me the vin n/a under my reference number too.,0
25,quite possible though there was no mention by  in his announcement that this was part of the extension. looking at his screen dumps you can see the vin field partially scrubbed out.  update: to confirm it is the extension my view of the same page in macos safari does not have the vin field so you are correct.,0
26,dont we need a vin to subscribe?,0
27," you donâ€™t need a vin, but it will help later on. for those joining so far this so year, the focus has been on educating/coaching on what to look for. the focus for the group now is to study shanghai factory videos looking for right hand drive exports. this will then move on to vins, build dates, ships, and estimated delivery dates as the quarter progresses.  others in the group are good at analysing rumours vs facts - particularly on hardware changes.  my advice on whether to subscribe - is only do so now if you want to do a deep dive investigation on when cars in shnghai are being built. if you are just interested in the ships your car is likely on, wait for a vin and build date.",0
28,i have now signed up for the vedaprime service following my order on 16/11. i have to say that the patreon link to discord that he provides is seriously good. most of my questions have now been answered after a single day on discord and the information on shipping and deliveries and how the system works is first class. highly recommended. once my vin arrives i will follow through on the delivery identification service that is also provided.,0
29,"i received a phone call from my sa (to introduce himself) plus text messages plus email/s. this was during the hectic time pre-nsw incentives starting and heaps of vehicles arriving. so maybe i got lucky. but there was no contact until after there was a vin and the various ""online paperwork"" started. he seemed very busy and once or twice i had to do a polite reminder. there were a few issues with logins and stuff which he handled efficiently and effectively. overall, the total experience was excellent and equal to the best in 57yrs of buying cars.",1
30,"just spoke to my tesla rep and was told that they are planning for deliveries in feb 22. was also told that once my model 3 is in transit to oz and processed, i should have a vin assigned which will likely be closer to the end of this month. fingers crossed that we will get no delays!",1
31,my sa also advised that i will be receiving a delivery updates in the coming week or week after (say end of the month). hopefully we will all have a vin by then!,0
32,i was advised today that i should receive vin in the next couple of weeks. not that it sounded like an overly â€˜educatedâ€™ statement. but hereâ€™s hoping! my trade-inâ€™s km are slowly racking up close to the estimated figure i gave and donâ€™t want a drop in value.,0
33,i also got called today from my sa advising late feb early march.  i ordered the rwd in early november in melbourne.  he had no idea about the odds of getting new processor. but whatever i just want the car now haha was told the vin and invoice would be sent in next 2 weeks or so...,0
34,vins will be issued after being built. cars will be built out to about early feb. only the first shipment will be getting their vin first because their car is built. no ships have departed shanghai.,0
35,once you have a vin your sa will be able to call their internal contact to confirm whether your car has the amd chip or not. happy for you to dm me if they tell you otherwise.,0
36,"order date 24/11. just to share some hopes...  just got a courtesy call from my sa. told me that i should expect a vin to be assigned in the next couple of weeks (by the end of jan) and confirmed that the car hasn't been built yet.  when i asked about the chip, he wasn't sure but he did mention that all new cars delivered in china now come with amd, just not sure about au yet since there haven't been any deliveries yet. they will be able to tell when the first car lands. he also indicated that the chips won't be random, as in some cars come with atom while others ryzen. it is decided by the built date. based on the chat, he seemed quite confident with the new chip.  but again, nothing is confirmed so far.",0
37,"so, i just checked with my sa, as i ordered after you 30/11 (if i remember correctly), and a performance, and delivery in sydney. my sa said, he still expects my delivery in 8-12 weeks, (no mention of from ordering date like website says or from now mind you), but i am reading this as delivery before end of march, though 12 weeks would be end of feb...  no amd chip knowledge either, he said they will only know once the cars arrive in country, though i do suspect that's not 100%, there should be a mechanism to match vin to parts, but that might be out of his ability. though i will be pushing him to check this once i get a vin assigned.",0
38," i ordered my m3lr 2 days on 14 nov 2021, 2 days after yours. i got a call a few days ago saying to expect a vin soon. i asked about the amd chip and they said they're not sure as it was being slowly rolled out between now and the end of q2.   once a vin is allocated to the order it should be possible to get a definitive answer about what the car has. seems to me the upgrades are worth cancelling the order and going to the back of the queue for. i only paid $150 for the order fee - which is now $350, however i noted the price of the m3lr has been reduced by $200 from when i ordered it.",0
39,"nobody knows for sure, but late feb/early march is likely. until you're assigned a vin number nobody can say for sure.   i ordered 13 december (rwd) and have been told by a sales agent that the cutoff was 20 december for this quarter's cars. however, that may not hold true for lr and performance models; there was another poster somewhere in this forum who's been told he may be delayed, and he ordered (i think?) a performance earlier than i did in december. the cutoff date may be a little different for each model. let's hope the factory didn't run out of some crucial parts just before building our cars.",0
40,"same, my sa never reached out. i had to send a few emails before tesla called me and told me who my sa was. i sent him a message last friday but no response yet. well it is what it is. just hoping we get a vin by the end of jan.",0
41,"i only had an rn number, infact i still only have the rn number on the page, i got the vin from the chrome extension.",1
42,like wise -- vin can be found in extension,0
43,just now checked my account and i've been assigned a vin starting with lrw ,1
44," correct.. look at source code for lrw  some other sites/forums said to review the source for isnotmatchedtora00vin"" bit.... but mine still says true and has been the whole time even though the vin is actually there today! (my order page has also updated with final payment amounts due prior to me looking for the vin though)",1
45,"checked the source code and via the crome extension. no vin yet. standard range, ordered mid nov, brisbane",0
46,od 13/11. no hidden vin yet.,0
47,did anyone who ordered an sr get a vin yet? seems to be lr being assigned at the moment.,0
48,received the hidden vin today. (no follow up from sa)  model 3 lr (white/black) order date: 9 nov 2021 edd: 11/02 - 25/02 vin: hidden in source code located: nsw,1
49,"ordered sr 19/11 in vic, no vin or edd either  speaking of insurance, every quote i've gotten is 1700-2500 a year which is quite expensive. i am young (26) though so that might be it",0
50,received the hidden vin today.  model 3 sr (blue/black) order date: 9 nov 2021 edd: 12/02 - 26/02 vin: hidden in source code located: qld,1
51,no vin for me yet.  m3lr order date: 18/11 white with black interior. nsw,0
52,"someone on the tesla model 3 & y group on fb ordered a m3p on 18 nov and received his vin today. interestingly he also mentioned having to accept the range decrease message, like those who ordered the lr.",1
53,has anyone from sydney received a vin yet?,0
54,"no vin for me yet.  m3 rwd, white with white interior order date: 08/11/21 white with white interior. melbourne, vic",0
55,"no vin but have this now - ""estimated delivery: february 11 - february 25""",0
56,"interesting that the range change only affects lr. surely there's a logical reason for it not affecting rwd/sr+? advertised ranges sandbagged in advance?  also, no hidden vin for me yet (order details below)",0
57,with vinâ€™s circulating today can anyone confirm that we are about to receive 2022 production models? believe the 10 th letter in the vin should be nâ€¦. thanks,0
58,my vin has tenth letter as n and build date is 10/01/2022,0
59,anybody received a vin on a silver lr? my sa told me i should make the cutoff but given tesla seems to build in batches if others with the same configuration have received vins and i havenâ€™t my gut feel is iâ€™d be q2,0
60,the 10th character in the hidden vin for my order is 'n'  rwd blue/black,0
61,...and if you have your vin you may be able to find out which ship your assigned vehicle is on.,0
62,"model 3 lr (blue/black) order date: 1 dec 2021 edd: march 11 - march 25 vin: assigned located: wa  for those that want to see if they have a vin, just log into your tesla account and click manage on your order. once that page finishes loading, open up the browser's developer tools (normally you can just hit the f12 button on your keyboard). then in the console type the following, and then hit enter:    you should then see your vin (if you have one assigned), e.g.:  ",1
63,"got a vin today in the order page source.  ordered 30/11, sr red delivery alexandria, sydney edd 25/02 - 11/03  order page updated to show final balance and payment details but no final invoice yet.",1
64,"hey, is anyone received their vin who placed their order around 08/11 to 14/11 thank you",0
65,"no tesla on this  i see people want to compare order dates, they mean nothing at vin allocation. vin allocation for q1 will go for another 3 or so weeks.",0
66,"just got my vin from the source code, thanks to maximilian. just sent an enquiry to my rep to ask him to check it for the ryzen cpu.",1
67,"i got my vin and delivery date this morning.  white sr with white interior, ordered 12 nov. brisbane. estimated delivery feb 9 -23",1
68,i have a estimated delivery date and vin this morning  rwd  exterior: white  interior: black od: 13th nov edd: feb 12-26 gold coast,1
69,i just received and vin   edd: 07/04-29/04 state:wa model 3 standard range,1
70,"woohoo just got my vin  ext: white, int: black model 3 sr od: 05/11 edd: feb 11 - feb 25 location: chatswood, sydney",1
71,got my edd & vin this morning!,1
72,how comes i haven't received my vin yet...?  lr od 13/11,0
73,"just received my vin as well.  rwd od: 24/11 ext: white, int: black edd: feb 27 - mar 13  to those who are still wondering, i email my sa to double confirm the updates and got this reply in the morning   ",1
74,is anyone who ordered in nov and still haven't got vin yet?,0
75," veda and many others have explained it pretty clearly: orders are built then assigned - not the other way around, if you don't have a vin yet - your combo hasn't been built in sufficient quantities to assign you one.",0
76,"sucks, but it would seems likely that combo isn't being produced in the quantities needed for the current global demand and you've drawn the short straw.  i'm waiting on a white lr and my agent told me that while he had originally assumed i would get it this round, they weren't getting as many as expected and my order was one of the types that was delayed. i'm new to all this, but i have to assume that my combo is also relatively common being white/white lr.   the issue here is that to compare my order date to others would be ignoring things like global demand (this is the australian specific thread so you will be missing a massive amount of data) changes to orders (i changed spec on 20th, which no doubt pushed me back in queue), silent orders (eg those who don't join forums to post info online lol) i can see why veda said this metric isn't really helpful for determining delivery, it has far too many variables.  imho, best to just treat it as a preorder without a date until you get the vin (and join veda's tracking once you do - if you're into that)",0
77,"i have the exactly same config with you, i got the edd & vin this morning for alexandria delivery. next m3 being produced in the factory in this spec could be yours ",1
78,"ordered 02/12/2021 perth wa white exterior, black interior, standard range rwd  allocated a vin and delivery date today estimated delivery: march 11 - march 25",1
79,"don't be dramatic,  tesla builds based on demand, and that is based on demand 2 quarters ago (confirmed from veda a few posts ago) and would be specific for your region (lhd vs rhd).  my point is that your order date has a lot of things riding on it and isn't going to be black and white. take mine for instance, which was ordered on 6/12/2021. i've changed from black to white interior on the 20th which would push me back in that sub-queue, and i don't know how this impacts my order in the queue either.  i guess you can compare to others if they share the same spec and around the same order date to get a guideline for yourself, but i would take any date with a pinch of salt until i have a vin personally.",0
80,m3 lr exterior white interior black od 19/11 no vin or notification yet,0
81, od 10/11 lr white/black i have vin and delivery date range listed,1
82,"this is normal with the vin allocation system. it is so amazing, logic does not work. order dates mean very little in this process as i say repeatedly at the beginning of every quarter. it just takes an example to prove it.  my message to people with no vins - hold out for another 3 weeks. if no vin by then reach out to your adviser. waiting for a tesla is an emotional rollercoaster, and there are more curves and ups and downs ahead. delays are ahead for shipping and transporters - as there are every quarter and the estimated delivery dates are untrustworthy and will move a lot.  it is an amazing system. this is why i look at all this closely over last 2 years.",0
83, the vin i got today for sr seems to indicate it has a 3d7.,0
84,how about vin with a 3f7?,0
85,awd long range exterior: red interior: black od: 13/11 no edd yet.  location: brisbane   any other queenslander who ordered long range with black interior who has got their vin yet?,0
86,no vin yet but i have the red with the white interior. from what i have seen there are no red lr cars which have had vins assigned yet. i could be wrong though.,0
87," the 8th digit of your vin determines the motor type. s = 3d7 hairpin for rwd model, if it's r it's 3d5",0
88,ive seen people commented that their payment details were available at the same time as the hidden vin was available.... does that show up under the documents section?,0
89,"no vin yet, but my account has gone back to 8-12 weeks from order placed date (went blank for the past week).......",0
90,"mine has done the opposite! it was saying 8-12 weeks from ordered placed date. now it is blank! m3lr white/white, chatswood, order 19/11, no vin as yet.",0
91,looks like things are quiet on the new vin front today ,0
92,some lrs already have their vins.  mine has the white interior which i've only seen one person say their vin has been assigned with that option.,0
93,"i know veda prime mentioned order dates have nothing to do with vin allocation, but i'd be super interested to know who has a vin with the latest order date and their specs.. i'm talking about orders into december",0
94,my bad just saw this one od 10/11 lr white/black i have vin and delivery date range listed,1
95,i've received my vin on monday.  m3 lr white/black od: 09/11/2021 edd: 11 ~ 25 feb loc: nsw  for what i've heard from sa was that the vin allocation is a manual process which happens slow.  orders prior 20th dec should be able to receive the vehicle in q1.  just be more patient ,1
96,"i heard that is manual allocation of vin and based on distance/time to deliver. as they want to make sure these are delivered in the q1 not held up in shipping. so perth have prob done earlier as they need to be off loaded, stuck on a truck and shipped again. this will mean that while i have a vin and a delivery date. if you are close to the landing point you will still get it before me.  if anyone that cannot stand the wait with for their long range performance i will swap your for my vin and delivery confirmed rwd  at no extra cost of course.",0
97,"we all know that giga shanghai will produce cars for exports in the first 45 days of each quarter. for m3, it then further breaks down into lhd & rhd cars. we're all competing under the total rhd export quota with other markets like uk, japan, taiwan, hong kong, singapore, nz, etc. m3 vin allocation here will continue until the q1 quota for au was exhausted, anytime between now & mid feb, i think.",0
98,i've found my vin in the source code - wasn't there two days ago!,1
99,"might join the pool of eagerly waiting vin allocations users haha.  : 17/12 : 8-12wks when ordered. no trade-in or finance : n/a. located: canberra, act.",0
100,"17 digit code begins lrw3 in the source code of your manage page in your tesla account, or download chrome extension tesla vin finder",0
101,"log into site and go here: , click on manage on your car's order card. open browser dev tools (f12), open console tab, type in  and get vin (if assigned).",0
102,"received an email from my sa that the car is 'coming soon', then a text from autonexus with the same (they are registering and delivering the car for tesla in south australia).  invoice was issued and paid in full. vin issued. order date: 14/11 model 3, sr, white  i am cautiously optimistic...",0
103,update: got vin in source code overnight. have had a few texts from tesla asking for invoice details etc. my order:   rwd exterior: blue interior: black od: 16/11 edd: 2/2 - 16/3 chatswood pickup  vin in source found 20/1 has 3d7 motor,1
104,"mine is four days earlier than you but white interior, no vin - melbourne",0
105,"hi,  adding to the details for everyone.  m3, sr+ (rear-wheel drive) interior: black exterior: white od: 2021-11-07 edd: 11/2 -> 25/2  location: chatswood.   had a vin since the start of the week. can't remember the exact day.   i was told on the phone that the ship's eta with the cars is 6th feb too. i was told car has new cpu, heater wipers, 12v upgrade, and change to rear lights.   no invoice yet.",1
106,"just joined the forum. i'm also waiting eagerly for my car   m3, rwd interior: black exterior: white od: 2021-12-23 edd: 14-20 weeks. no update, no vin yet. location: alexandria  what tint are you getting? i think tinting is a must with the aussie sun. i plan to get one of those sun shades and am deciding if i should tint the roof as well.  we have so many people in this thread with cars coming around the same time. we can probably organise a sweet group tinting deal in sydney if we have enough interest?",0
107,"+1, that's where i'm looking to take mine as and when it arrives  m3, rwd interior: white exterior: blue od: 11/12/2022 edd: 14-20 weeks. no update, no vin yet. location: perth",0
108,"in the us market, it would appear that these numbers bounce around like crazy. in the australian context, it would appear they are more accurate, i.e. they are provided after production and vin assignment so very little to nil edd bouncing. my first time stating this but as always .",0
109,"showed up late last night  pay final balance + a hidden vin  m3, rwd interior: white exterior: white od: 08/12/2021 edd: 04/03-13/03 vin: found in source location: brisbane",1
110,nice! got a vin via your account page?,0
111,i ordered a rwd on 16th and was called after the 20th. sa told me that i just made the 8-12 wk cut. a few weeks later when i spoke to him again i confirmed that i made the cut and he was confident i'd still be in the feb/march delivery.  no vin or edd yet. refresh button is getting a workout,0
112,hopefully weâ€™ll see some sneaky vin assignments this afternoon to bring on the weekend,0
113,"at this stage they all probably do. check with your tesla rep, or put your vin into the tesla vin decoder to be sure.",0
114,has anyone who ordered a m3p got their vin yet?   m3p ext: white int: black od: 6/12/21 edd: 8-12 wks  location: chatswood  vin: no,0
115,"nah, still waiting. dont think i've anyone post that have got their m3p vin  m3p ext: silver int: black od: 7/12/21 edd: 8-12 wks location: melbourne vin: no",0
116,"hi everyone,  tesla recently changed the place where the vin used to be in the source code. i have updated the extension to display the correct vin on the tesla order page (below the rn number).   also, if in any future updates the vin location changes again in the source code. it would be still visible in the extender order table that is created below the page.  thanks",0
117,"anyone else with a blank app with no delivery est, i was told this means waiting on vin assignment?",0
118,"so far i only recall 1 m3lr getting a vin.  i still haven't heard anything, no hidden code, no invoice.  od 18/11 m3lr  white/black sydney - chatswood  have any other lr orders received vin and final invoice yet?",0
119,update this evening: delivery date brought forward by a week!  rwd exterior: blue interior: black od: 16/11 edd: 24/2 - 10/3  chatswood pickup  vin in source found 20/1 has 3d7 motor,0
120,"just for those asking about lr, i have a white/white lr ordered 6/11 and was one of the first if not the first on here to get a vin and invoice. don't stress if still waiting for your vin, there is no logic behind the order in which people are getting informed of their assigned vins.",0
121,how did you figure out the production date from vin ?,0
122,"lr/rmc/black/aero no fsd, order date was 08/04/21.  got a call from tesla staff 12/21/21 that i needed to answer the ""how are you going to pay?"" question and apply for financing because my car was coming in the next week (no vin).  applied for financing same day, was approved. delivery window got down to 12/29/21 to 12/31/21, no vin ever assigned. car never came.  has been bumped out twice and is now 01/27/22 - 02/24/22. at 5 months wait already i'm relatively confident my reservation is bugged in some way. tesla staff have called me to tell me car was coming in the next week and it didn't. no vin has ever been assigned. people with identical configs who ordered months later are receiving their cars.  if only there was a phone number i could call to figure out what's going on...i'm 20 minutes from the fremont factory they don't even need to deliver it...i'll take an uber...  bonus: credit approval is only good for 30 days. i guess i'll take  hard credit check hit if they ever assign a vin.",0
123,should be able to pop your rn at the end of this url to get your vin if one is there:  vin decoder here: ,0
124,"m3lr ext: white int: white od: 19/11/21 edd: 8-12 weeks (now blank since last monday) location: chatswood vin: no  i must say that my sa has been very responsive to phone calls and texts. last tuesday he told me vin should be coming through â€œsoonâ€â€¦  try and stay optimistic!  regards, stephen",0
125,wonderful thank you!   no vin yet.,0
126,"oh sweet, couldn't find my vin since i got my edd even in the source code but using the link above i finally have it! thanks",0
127,"wow, haha, i wouldn't have thought that to be the case - would have thought it pulls the data from the same place. i just stole it from  () who posted it in this thread earlier. much easier as i can get my vin when out and about on my phone without thinking too hard using this method.",0
128,surely the rest of us must be getting our vins this week! iâ€™m hoping for another round of vin assignments in the next few days. fingers crossed!,0
129,"od: 14 nov 2021, lr blue, no extras.  just got off the phone with tesla sales. i speak with a different person every time as i don't seem to have an sa.   anyway she said edd is now march (not feb) and that all cars on the next shipment will be built in 2022 and have the ryzen chip.   seems consistent with other messages here.  the reason i haven't got the reduced range acceptance is the vin hasn't been assigned yet. apparently vin will be allocated in the next 2 weeks.  fingers crossed!",0
130,"i have been lurking on this thread for a few days now, and seemed like a good time make my first post as my vin just got allocated today!  m3 rwd exterior: white / interior:black od: 5/12/21 vin: found in source (24/1/22) edd: ?? (can't find this anywhere, in app or my account) location: melbourne  my finance is through a tesla affiliated provider , and my tesla account shows the invoice break-up and says to pay the deposit amount. expecting an update from tesla soon on edd.",1
131,fyi this is a good url to get the vin without looking in the source if you have one.    change the rn to your rn and it should show it for you. it showed in there at same time the vin extension found it in the source.,0
132,did you already have a vin or did that happen today too?,0
133,had a hidden vin for about a week,0
134,would it be fair to say that if you do not have a vin yet your tesla is still in shanghai or to be built?,0
135,"i think the only ones with vin's are from november 2021, i have a vin but was lucky enough to get a cancellation. i think they allocated mine from one of the people who ordered in oct-nov, so wouldn't count that as an lr vin from december order.",0
136, my od 13/11. looks like the ones with vin for lr ordered before 12/11.  i agree with the person posted earlier. it's all over the place...,0
137,"i ordered rwd early december, no vin yet for me",0
138,"from my experience so far and i have a long-range with the order finalised on 2 december. i did order earlier but changed the colour.  i have my vin, estimated delivery date, and already paid the invoice. i received the invoice about the time ship left shanghai for australia.  now i have a paid service where i can track ships. but what i suggest you do is keep an eye on the port of shanghai and in particular the picture i have posted. i believe it is here where the teslas are loaded. but you will not know the destination of the ships until they leave port. that should give you a fair indication of the location of your vehicle.  currently, there is a ship heading toward australia from this location. i could be wrong, but i would think that most who have vehicles on the ship would have their vin number and either received an invoice or it is coming very soon.  i wish tesla themselves were more forthcoming on information so as to avoid so much uncertainty among those waiting for vehicles. ",0
139,it's a quiet week for vin assignments .. so far,0
140,"ordered 12/12, still waiting for my vin ",0
141,ordered 19/11 and still no vin ,0
142,"i ordered an lr red model 3 with a white interior back in nov. within 4 weeks it was ready for payment. sadly my bank was dragging its heels. i asked tesla for an extra 2 days (on top of the week they allow for payment), but they said no. the car was given to someone else, and sure enough, 2 days later i had the cash.   i've since ordered the same model on 1/12 (8-12 week wait quoted at the time). no vin or updates from tesla yet.  i guess on the bright side, now it'll be a 2022 build and hopefully have the ryzen chip. tbh that is a better outcome than getting it a few months earlier.",0
143,why would that not be allocated to somebody waiting for a vin for a similar car? is it old stock with old computer?,0
144,"i don't think they are old tech. what happens is - when someone cancels the order after the vin allocation, the car goes to existing inventory until sa allocate that car to the queue. if you are smart enough to grab it in that narrow window, that car is yours.",0
145,it's heartbreaking waking up each day waiting for the vin and then not receiving it. i only want it so i know the car exists.,0
146,i ordered an msm lr white on 16/11/2021 melbourne delivery. no vin yet. no nothing. not worried as my workmate ordered a tesla last year. same happened to him. he got vin and invoice on same day and delivery 2 days later while all at the same time people were getting vin's and invoices on all sorts of dates. shows there is no logic to the system at all.,0
147,"13/11, lr  yes, no vin  if there is manual allocation of the vin how do they know at tesla they donâ€™t miss orders to allocate to?",0
148,"i sent an email to tesla today via their â€˜leasingpartnerâ€™ address, enquiring about the timeline to receive a vin and then an actual car i wasnâ€™t expecting a quick response but this afternoon someone called and said iâ€™d get a vin later this week and a late-february or early-march delivery m3lr, white/black, ordered 26.11.21",0
149,"itâ€™s a mixed bag of order dates with vins, as expected, from lots of different dates including late december.  it all depends on what has been built or planned to be built in the quarter, confirming order dates mean very little for vin assignment.",0
150,"hi dan  i initially ordered my lr mid-november but changed the color in the first week of december. this apparently changes the order date. i do have the vin and invoice. it is like vedaprime says, some things obviously don't make sense but the next ship from china will only be a week or two behind the first.  also, you may still get your vin any day. has tesla given you an estimated delivery window? this should also give you some indication of whether you're on the first or second ship.  i think, and this is my opinion only, that if you have an estimated two-week delivery window from early february you are most likely on the first ship but if your window goes into march probably more likely on the ship following.",0
151," hi,  no, there is no delivery timeframe in my tesla account. we'll wait. i've seen that some lr got vin at the beginning of the previous week and nothing since then...",0
152,i'm curious if any of lr's people are going to get vin by the end of this week.,0
153,do you get notification via email or text message? or this is something we need to check in account portal?  i have received vin on 17/01 but no invoice has been issued so far.,0
154," yep, i ordered when it showed 8-12 weeks and now 10 weeks later there is still no vin  they started production at the beginning of jan and i can't imagine they have not built enough the most popular lr spec. looks like they've got shitty allocation procedures",0
155,any p's been issued a vin yet? i ordered on 5/12 (p w/b) and was saying 8-12 wks but that reference has vanished the past wk. not quite sure why?,0
156,"yes, i ordered on 5/12, and got the vin assigned on 24/1. base specs white ext/black int, 18"" wheels, etc , melbourne",0
157,in the beginning it was noobie questions prior to finding this forum. then there was a bit of back and forth around inclusions in the 22 model builds like the new ryzen cpu etc. it has all been via text and one phone call. i messaged him this morning to see if he still thought vin assignment would happen this month as i was curious with chinese new year coming up and that country basically goes into shutdown during that time.,0
158,"my sa just called me to say that there had been a bit of a delay at the factory with white interiors. car will still be delivered in march, but i would not see the vin until the 5-7 of feb. iâ€™ve got a white lr with white interior ordered. order date was 19/11.   regards, stephen",0
159,vedaprime did mention vin allocation normally takes a few weeks anyway so it's probably not abnormal that you do not have one yet.,0
160,i didn't receive anything from sa even when vin was assigned. all i did was keep refreshing till vin and final invoice appearing in my account  keep refreshing and pray,0
161,"i got the vin a while back, invoice is another story haha.",0
162,"yea same, order 17th, its definitely an emotional rollercoaster ride waiting for the mythical vin allocation lol.",0
163,"i gave up on refreshing/checking the app for a vin or edd, so i wrote a crude python script to login every hour and search for a vin and send me an email when it finds one.  now i can get back to doing more important things lol ",0
164,"just an update. on my order: edd now 06/03/22 - 20/03/22 vin found in source code about 3 days ago final invoice issued this morning car build date on invoice is 09/01/22 just deciding on which way to go with trade-in, whether to trade-in to tesla or to sell back to the original dealer.  stevet",1
